timestamp,cpu_percent,memory_rss_mb,memory_vms_mb,process_threads,thread_pool_total,thread_pool_borrowed,thread_pool_available,thread_pool_waiting,pending_bg_tasks,active_threads,phase
2025-12-10T08:21:34.968057,0.0,48.546875,425130.40625,5,40,0,40,0,0,1,test
2025-12-10T08:21:35.981754,1.5,49.3125,425130.40625,5,40,0,40,0,17,1,test
2025-12-10T08:21:36.987860,5.3,49.90625,425131.40625,5,40,0,40,0,53,1,test
2025-12-10T08:21:38.001973,8.1,50.859375,425132.40625,5,40,0,40,0,112,1,test
2025-12-10T08:21:39.014194,10.1,52.0,425133.40625,5,40,0,40,0,185,1,test
2025-12-10T08:21:40.020238,11.0,53.03125,425134.40625,5,40,0,40,0,266,1,test
2025-12-10T08:21:41.026424,8.2,54.09375,425135.40625,5,40,0,40,0,350,1,test
2025-12-10T08:21:42.033333,10.4,55.203125,425136.40625,5,40,0,40,0,427,1,test
2025-12-10T08:21:43.043629,11.8,56.28125,425137.40625,5,40,0,40,0,508,1,test
2025-12-10T08:21:44.053492,12.4,57.453125,425138.40625,5,40,0,40,0,590,1,test
2025-12-10T08:21:45.060906,13.2,58.5,425139.40625,5,40,0,40,0,670,1,test
2025-12-10T08:21:46.072606,7.5,59.359375,425140.40625,5,40,0,40,0,732,1,test
2025-12-10T08:21:47.093463,14.3,60.03125,425140.40625,5,40,0,40,0,780,1,test
2025-12-10T08:21:48.106562,14.7,60.25,425141.40625,5,40,0,40,0,796,1,test
2025-12-10T08:21:49.113040,13.5,60.40625,425141.40625,5,40,0,40,0,798,1,test
2025-12-10T08:21:50.121935,11.9,60.40625,425141.40625,5,40,0,40,0,791,1,test
2025-12-10T08:21:51.126834,14.2,60.40625,425141.40625,5,40,0,40,0,795,1,test
2025-12-10T08:21:52.138077,11.5,60.40625,425141.40625,5,40,0,40,0,793,1,test
2025-12-10T08:21:53.147332,12.2,60.40625,425141.40625,5,40,0,40,0,795,1,test
2025-12-10T08:21:54.165818,12.4,60.40625,425141.40625,5,40,0,40,0,789,1,test
2025-12-10T08:21:55.175041,10.5,60.40625,425141.40625,5,40,0,40,0,786,1,test
2025-12-10T08:21:56.181800,12.4,60.40625,425141.40625,5,40,0,40,0,781,1,test
2025-12-10T08:21:57.191411,14.7,60.40625,425141.40625,5,40,0,40,0,772,1,test
2025-12-10T08:21:58.201590,14.7,60.40625,425141.40625,5,40,0,40,0,782,1,test
2025-12-10T08:21:59.209623,13.6,60.40625,425141.40625,5,40,0,40,0,777,1,test
2025-12-10T08:22:00.221829,14.1,60.40625,425141.40625,5,40,0,40,0,783,1,test
2025-12-10T08:22:01.232728,11.5,60.40625,425141.40625,5,40,0,40,0,787,1,test
2025-12-10T08:22:02.242510,14.1,60.40625,425141.40625,5,40,0,40,0,788,1,test
2025-12-10T08:22:03.257046,14.7,60.40625,425141.40625,5,40,0,40,0,784,1,test
2025-12-10T08:22:04.264078,15.4,60.40625,425141.40625,5,40,0,40,0,788,1,test
2025-12-10T08:22:05.272965,11.9,60.40625,425141.40625,5,40,0,40,0,787,1,bg_completion
2025-12-10T08:22:06.281785,2.4,60.40625,425141.40625,5,40,0,40,0,708,1,bg_completion
2025-12-10T08:22:07.289441,3.3,60.40625,425141.40625,5,40,0,40,0,634,1,bg_completion
2025-12-10T08:22:08.299931,3.6,60.40625,425141.40625,5,40,0,40,0,551,1,bg_completion
2025-12-10T08:22:09.312422,3.0,56.28125,425141.40625,5,40,0,40,0,473,1,bg_completion
2025-12-10T08:22:10.320619,3.3,56.28125,425141.40625,5,40,0,40,0,390,1,bg_completion
2025-12-10T08:22:11.332357,3.5,56.28125,425141.40625,5,40,0,40,0,308,1,bg_completion
2025-12-10T08:22:12.342338,3.0,56.28125,425141.40625,5,40,0,40,0,227,1,bg_completion
2025-12-10T08:22:13.351191,3.5,56.28125,425141.40625,5,40,0,40,0,155,1,bg_completion
2025-12-10T08:22:14.363381,3.8,56.28125,425141.40625,5,40,0,40,0,64,1,bg_completion
2025-12-10T08:22:15.374085,3.3,56.28125,425141.40625,5,40,0,40,0,0,1,bg_completion
