timestamp,cpu_percent,memory_rss_mb,memory_vms_mb,process_threads,thread_pool_total,thread_pool_borrowed,thread_pool_available,thread_pool_waiting,pending_bg_tasks,active_threads,phase
2025-12-10T08:31:52.247654,0.0,48.546875,425129.640625,5,40,0,40,0,0,1,test
2025-12-10T08:31:53.261793,2.2,50.125,425403.734375,22,40,17,23,0,17,18,test
2025-12-10T08:31:54.267428,7.1,51.640625,425773.203125,45,40,40,0,11,51,41,test
2025-12-10T08:31:55.273771,12.0,52.71875,425774.203125,45,40,40,0,66,106,41,test
2025-12-10T08:31:56.283747,11.2,53.921875,425775.203125,45,40,40,0,142,182,41,test
2025-12-10T08:31:57.299985,13.4,55.234375,425776.203125,45,40,40,0,221,261,41,test
2025-12-10T08:31:58.308401,9.4,56.546875,425778.203125,45,40,40,0,307,347,41,test
2025-12-10T08:31:59.313790,10.2,57.75,425779.203125,45,40,40,0,382,422,41,test
2025-12-10T08:32:00.320277,11.5,59.03125,425780.203125,45,40,40,0,463,503,41,test
2025-12-10T08:32:01.327033,12.0,60.234375,425781.203125,45,40,40,0,537,577,41,test
2025-12-10T08:32:02.335093,12.3,61.453125,425782.203125,45,40,40,0,617,657,41,test
2025-12-10T08:32:03.348774,9.6,62.5,425783.203125,45,40,40,0,676,716,41,test
2025-12-10T08:32:04.360640,13.4,63.3125,425784.203125,45,40,40,0,737,777,41,test
2025-12-10T08:32:05.370822,12.6,64.6875,425785.203125,45,40,40,0,818,858,41,test
2025-12-10T08:32:06.394451,11.3,65.875,425786.203125,45,40,40,0,899,939,41,test
2025-12-10T08:32:07.406787,16.8,67.140625,425787.203125,45,40,40,0,981,1021,41,test
2025-12-10T08:32:08.411930,9.9,68.40625,425789.203125,45,40,40,0,1062,1102,41,test
2025-12-10T08:32:09.418855,12.7,69.6875,425790.203125,45,40,40,0,1141,1181,41,test
2025-12-10T08:32:10.426138,13.6,71.234375,425791.203125,45,40,40,0,1217,1257,41,test
2025-12-10T08:32:11.434740,12.8,72.453125,425792.203125,45,40,40,0,1298,1338,41,test
2025-12-10T08:32:12.443465,11.3,73.640625,425793.203125,45,40,40,0,1377,1417,41,test
2025-12-10T08:32:13.456222,8.4,74.65625,425794.203125,45,40,40,0,1436,1476,41,test
2025-12-10T08:32:14.467562,12.1,75.5625,425795.203125,45,40,40,0,1497,1537,41,test
2025-12-10T08:32:15.477775,11.6,76.875,425796.203125,45,40,40,0,1575,1615,41,test
2025-12-10T08:32:16.486650,10.6,78.15625,425797.203125,45,40,40,0,1658,1698,41,test
2025-12-10T08:32:17.494897,12.4,79.28125,425798.203125,45,40,40,0,1734,1774,41,test
2025-12-10T08:32:18.502134,11.6,80.5625,425799.203125,45,40,40,0,1813,1853,41,test
2025-12-10T08:32:19.510965,11.7,81.828125,425801.203125,45,40,40,0,1891,1931,41,test
2025-12-10T08:32:20.517556,12.0,83.09375,425802.203125,45,40,40,0,1974,2014,41,test
2025-12-10T08:32:21.527498,10.2,84.265625,425803.203125,45,40,40,0,2053,2093,41,test
2025-12-10T08:32:22.537537,10.0,85.359375,425804.203125,45,40,40,0,2131,2171,41,bg_completion
2025-12-10T08:32:23.546614,1.4,85.359375,425804.203125,45,40,40,0,2109,2149,41,bg_completion
2025-12-10T08:32:24.557900,1.7,85.359375,425804.203125,45,40,40,0,2091,2131,41,bg_completion
2025-12-10T08:32:25.567402,0.3,85.359375,425804.203125,45,40,40,0,2091,2131,41,bg_completion
