Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1765383551,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1765383552,10,,Aggregated,0.000000,0.000000,420,420,620,620,620,620,620,620,620,620,620,3,0,420.0,419.1405276651494,214.48458399390802,623.9179580006748,201.0
1765383553,20,,Aggregated,0.000000,0.000000,780,940,1000,1000,1700,1700,1700,1700,1700,1700,1700,8,0,620.0,761.9020780020946,214.48458399390802,1652.759958000388,201.0
1765383554,30,,Aggregated,0.000000,0.000000,850,940,1000,1000,1700,2300,2300,2300,2300,2300,2300,11,0,850.0,918.3813749114051,214.48458399390802,2272.6792080065934,201.0
1765383555,40,,Aggregated,2.500000,0.000000,1200,1300,1300,1700,3100,3900,3900,3900,3900,3900,3900,19,0,1200.0,1294.7931337900961,214.48458399390802,3918.7966250028694,201.0
1765383556,40,,Aggregated,3.666667,0.000000,1300,1600,1700,1700,3100,3900,4900,4900,4900,4900,4900,24,0,1200.0,1510.141352417122,214.48458399390802,4943.4334999969,201.0
1765383557,40,,Aggregated,3.750000,0.000000,1300,1700,1800,1800,3900,4900,6000,6000,6000,6000,6000,29,0,1300.0,1698.2036379656697,214.48458399390802,5975.338500007638,201.0
1765383558,40,,Aggregated,3.800000,0.000000,1600,1700,1800,1800,3100,4900,6000,6000,6000,6000,6000,34,0,1600.0,1696.239607882864,214.48458399390802,5975.338500007638,201.0
1765383559,40,,Aggregated,3.800000,0.000000,1600,1700,1800,1800,3100,4900,6000,6000,6000,6000,6000,34,0,1600.0,1696.239607882864,214.48458399390802,5975.338500007638,201.0
1765383560,40,,Aggregated,4.000000,0.000000,1700,1800,2000,2100,3900,6000,7200,7200,7200,7200,7200,40,0,1700.0,1873.5078636251274,214.48458399390802,7235.055249999277,201.0
1765383561,40,,Aggregated,4.250000,0.000000,1700,2000,2100,2200,3900,6000,8500,8500,8500,8500,8500,46,0,1700.0,2053.7720054784113,214.48458399390802,8466.470792001928,201.0
1765383562,40,,Aggregated,4.444444,0.000000,1800,2100,2300,2300,3900,7200,8500,9900,9900,9900,9900,53,0,1800.0,2237.5494591701768,214.48458399390802,9903.519125000457,201.0
1765383563,40,,Aggregated,4.444444,0.000000,1800,2100,2300,2300,3900,7200,8500,9900,9900,9900,9900,53,0,1800.0,2237.5494591701768,214.48458399390802,9903.519125000457,201.0
1765383564,40,,Aggregated,4.000000,0.000000,2000,2300,2400,2600,4900,8500,9900,11000,11000,11000,11000,60,0,1800.0,2421.9150188003064,214.48458399390802,11341.840499997488,201.0
1765383565,40,,Aggregated,4.800000,0.000000,2100,2400,2600,2700,4900,8500,11000,13000,13000,13000,13000,68,0,2100.0,2614.4324933088415,214.48458399390802,12982.00524999993,201.0
1765383566,40,,Aggregated,4.800000,0.000000,2100,2400,2600,2700,4900,8500,11000,13000,13000,13000,13000,68,0,2100.0,2614.4324933088415,214.48458399390802,12982.00524999993,201.0
1765383567,40,,Aggregated,4.500000,0.000000,2300,2600,2900,2900,4900,9900,13000,15000,15000,15000,15000,76,0,2300.0,2806.551338855474,214.48458399390802,14629.724957994767,201.0
1765383568,40,,Aggregated,4.500000,0.000000,2300,2600,2900,2900,4900,9900,13000,15000,15000,15000,15000,76,0,2300.0,2806.551338855474,214.48458399390802,14629.724957994767,201.0
1765383569,40,,Aggregated,4.400000,0.000000,2300,2800,3000,3100,4900,9900,15000,16000,16000,16000,16000,85,0,2300.0,3001.391006918172,214.48458399390802,16473.264708998613,201.0
1765383570,40,,Aggregated,4.400000,0.000000,2300,2800,3000,3100,4900,9900,15000,16000,16000,16000,16000,85,0,2300.0,3001.391006918172,214.48458399390802,16473.264708998613,201.0
1765383571,40,,Aggregated,4.700000,0.000000,2500,2900,3200,3300,4900,11000,16000,18000,18000,18000,18000,94,0,2500.0,3195.7436498940956,214.48458399390802,18325.870833999943,201.0
1765383572,40,,Aggregated,4.700000,0.000000,2500,2900,3200,3300,4900,11000,16000,18000,18000,18000,18000,94,0,2500.0,3195.7436498940956,214.48458399390802,18325.870833999943,201.0
1765383573,40,,Aggregated,5.400000,0.000000,2600,3100,3400,3400,4900,11000,16000,18000,20000,20000,20000,104,0,2600.0,3392.3378390004823,214.48458399390802,20378.54795900057,201.0
1765383574,40,,Aggregated,5.400000,0.000000,2600,3100,3400,3400,4900,11000,16000,18000,20000,20000,20000,104,0,2600.0,3392.3378390004823,214.48458399390802,20378.54795900057,201.0
1765383575,40,,Aggregated,4.100000,0.000000,2900,3300,3500,3700,4900,13000,18000,20000,22000,22000,22000,114,0,2800.0,3598.3994876316915,214.48458399390802,22419.618082989473,201.0
1765383576,40,,Aggregated,4.100000,0.000000,2900,3300,3500,3700,4900,13000,18000,20000,22000,22000,22000,114,0,2800.0,3598.3994876316915,214.48458399390802,22419.618082989473,201.0
