timestamp,cpu_percent,memory_rss_mb,memory_vms_mb,process_threads,thread_pool_total,thread_pool_borrowed,thread_pool_available,thread_pool_waiting,pending_bg_tasks,active_threads,phase
2025-12-10T08:14:27.228746,0.0,48.46875,425129.796875,5,40,0,40,0,0,1,test
2025-12-10T08:14:28.243482,3.3,50.640625,425452.078125,25,40,11,29,0,29,21,test
2025-12-10T08:14:29.251546,10.0,52.296875,425629.765625,36,40,19,21,0,99,32,test
2025-12-10T08:14:30.263386,23.5,54.375,425776.359375,45,40,24,16,0,213,41,test
2025-12-10T08:14:31.272128,23.1,56.609375,425778.359375,45,40,29,11,0,359,41,test
2025-12-10T08:14:32.279968,27.6,59.28125,425796.421875,46,40,37,3,0,540,42,test
2025-12-10T08:14:33.295497,21.5,62.1875,425799.421875,46,40,40,0,7,731,42,test
2025-12-10T08:14:34.304110,29.9,64.71875,425801.421875,46,40,39,1,2,925,42,test
2025-12-10T08:14:35.312454,30.8,67.375,425804.421875,46,40,40,0,3,1118,42,test
2025-12-10T08:14:36.322935,28.4,70.21875,425806.421875,46,40,35,5,0,1315,42,test
2025-12-10T08:14:37.332456,29.9,72.921875,425808.421875,46,40,41,-1,0,1509,42,test
2025-12-10T08:14:38.348498,22.0,75.03125,425811.421875,46,40,39,1,0,1662,42,test
2025-12-10T08:14:39.352853,20.3,76.78125,425812.421875,46,40,40,0,2,1784,42,test
2025-12-10T08:14:40.360344,22.3,77.65625,425813.421875,46,40,40,0,0,1858,42,test
2025-12-10T08:14:41.372235,24.2,78.375,425814.421875,46,40,38,2,6,1910,42,test
2025-12-10T08:14:42.390948,21.1,78.578125,425814.421875,46,40,40,0,8,1914,42,test
2025-12-10T08:14:43.398815,17.2,78.59375,425814.421875,46,40,40,0,0,1914,42,test
2025-12-10T08:14:44.406718,21.9,78.828125,425814.421875,46,40,39,1,0,1918,42,test
2025-12-10T08:14:45.415125,21.8,78.828125,425814.421875,46,40,40,0,3,1918,42,test
2025-12-10T08:14:46.425243,23.3,78.828125,425814.421875,46,40,40,0,1,1910,42,test
2025-12-10T08:14:47.433934,23.7,78.828125,425814.421875,46,40,40,0,0,1908,42,test
2025-12-10T08:14:48.443136,15.9,78.84375,425814.421875,46,40,40,0,1,1905,42,test
2025-12-10T08:14:49.451955,22.8,78.84375,425814.421875,46,40,40,0,1,1905,42,test
2025-12-10T08:14:50.456119,23.2,78.84375,425814.421875,46,40,39,1,0,1907,42,test
2025-12-10T08:14:51.462178,25.4,78.84375,425814.421875,46,40,40,0,5,1906,42,test
2025-12-10T08:14:52.470579,23.9,78.84375,425814.421875,46,40,37,3,0,1912,42,test
2025-12-10T08:14:53.478755,20.7,78.84375,425814.421875,46,40,39,1,10,1908,42,test
2025-12-10T08:14:54.491743,29.0,78.84375,425814.421875,46,40,40,0,4,1901,42,test
2025-12-10T08:14:55.501054,34.2,78.84375,425814.421875,46,40,40,0,6,1902,42,test
2025-12-10T08:14:56.510463,32.4,78.84375,425814.421875,46,40,40,0,4,1904,42,test
2025-12-10T08:14:57.520762,26.8,78.859375,425814.421875,46,40,0,40,0,1906,42,bg_completion
2025-12-10T08:14:58.529439,3.6,78.859375,425814.421875,46,40,0,40,0,1713,42,bg_completion
2025-12-10T08:14:59.539440,5.8,78.859375,425814.421875,46,40,0,40,0,1522,42,bg_completion
2025-12-10T08:15:00.549680,6.6,78.859375,425814.421875,46,40,0,40,0,1325,42,bg_completion
2025-12-10T08:15:01.560859,4.8,78.859375,425814.421875,46,40,0,40,0,1127,42,bg_completion
2025-12-10T08:15:02.571686,6.2,78.859375,425814.421875,46,40,0,40,0,934,42,bg_completion
2025-12-10T08:15:03.582025,5.0,78.859375,425814.421875,46,40,0,40,0,743,42,bg_completion
2025-12-10T08:15:04.595063,5.9,78.859375,425814.421875,46,40,0,40,0,553,42,bg_completion
2025-12-10T08:15:05.608226,6.5,78.859375,425814.421875,46,40,0,40,0,363,42,bg_completion
2025-12-10T08:15:06.616885,6.5,78.859375,425814.421875,46,40,0,40,0,171,42,bg_completion
2025-12-10T08:15:07.622771,5.5,78.859375,425814.421875,46,40,0,40,0,0,42,bg_completion
