timestamp,cpu_percent,memory_rss_mb,memory_vms_mb,process_threads,thread_pool_total,thread_pool_borrowed,thread_pool_available,thread_pool_waiting,pending_bg_tasks,active_threads,phase
2025-12-10T08:29:14.862018,0.0,48.609375,425130.015625,5,40,0,40,0,0,1,test
2025-12-10T08:29:15.874046,1.2,49.765625,425258.515625,13,40,8,32,0,8,9,test
2025-12-10T08:29:16.883922,4.6,50.84375,425548.671875,31,40,26,14,0,26,27,test
2025-12-10T08:29:17.895846,5.5,51.6875,425773.578125,45,40,40,0,6,46,41,test
2025-12-10T08:29:18.906255,4.3,51.921875,425773.578125,45,40,40,0,25,65,41,test
2025-12-10T08:29:19.915325,4.7,52.296875,425774.578125,45,40,40,0,47,87,41,test
2025-12-10T08:29:20.923800,3.1,52.671875,425774.578125,45,40,40,0,67,107,41,test
2025-12-10T08:29:21.946884,5.9,52.9375,425774.578125,45,40,40,0,86,126,41,test
2025-12-10T08:29:22.958603,4.3,53.265625,425775.578125,45,40,40,0,106,146,41,test
2025-12-10T08:29:23.972319,4.0,53.609375,425775.578125,45,40,40,0,125,165,41,test
2025-12-10T08:29:24.988662,5.1,53.875,425775.578125,45,40,40,0,147,187,41,test
2025-12-10T08:29:26.002471,3.8,54.0625,425775.578125,45,40,40,0,160,200,41,test
2025-12-10T08:29:27.011090,5.2,54.109375,425775.578125,45,40,40,0,160,200,41,test
2025-12-10T08:29:28.023224,5.3,54.265625,425775.578125,45,40,40,0,168,208,41,test
2025-12-10T08:29:29.035386,3.8,54.5625,425776.578125,45,40,40,0,189,229,41,test
2025-12-10T08:29:30.047128,4.0,54.890625,425776.578125,45,40,40,0,206,246,41,test
2025-12-10T08:29:31.056649,2.6,55.203125,425776.578125,45,40,40,0,229,269,41,test
2025-12-10T08:29:32.066640,4.4,55.546875,425777.578125,45,40,40,0,249,289,41,test
2025-12-10T08:29:33.077780,4.1,55.796875,425777.578125,45,40,40,0,268,308,41,test
2025-12-10T08:29:34.089082,4.5,56.15625,425777.578125,45,40,40,0,288,328,41,test
2025-12-10T08:29:35.101271,4.0,56.46875,425777.578125,45,40,40,0,307,347,41,test
2025-12-10T08:29:36.110629,3.2,56.59375,425778.578125,45,40,40,0,316,356,41,test
2025-12-10T08:29:37.121766,5.7,56.671875,425778.578125,45,40,40,0,315,355,41,test
2025-12-10T08:29:38.135706,5.0,56.765625,425778.578125,45,40,40,0,326,366,41,test
2025-12-10T08:29:39.147161,4.1,57.09375,425778.578125,45,40,40,0,346,386,41,test
2025-12-10T08:29:40.159989,4.3,57.390625,425778.578125,45,40,40,0,367,407,41,test
2025-12-10T08:29:41.170511,3.0,57.6875,425779.578125,45,40,40,0,388,428,41,test
2025-12-10T08:29:42.186176,4.7,58.0625,425779.578125,45,40,40,0,406,446,41,test
2025-12-10T08:29:43.193202,4.6,58.328125,425779.578125,45,40,40,0,427,467,41,test
2025-12-10T08:29:44.203496,4.8,58.6875,425779.578125,45,40,40,0,448,488,41,test
2025-12-10T08:29:45.214082,3.2,58.890625,425780.578125,45,40,40,0,465,505,41,bg_completion
2025-12-10T08:29:46.224328,0.9,58.890625,425780.578125,45,40,40,0,454,494,41,bg_completion
2025-12-10T08:29:47.236767,2.4,58.890625,425780.578125,45,40,40,0,432,472,41,bg_completion
2025-12-10T08:29:48.243040,1.1,58.890625,425780.578125,45,40,40,0,425,465,41,bg_completion
2025-12-10T08:29:49.253418,0.4,58.890625,425780.578125,45,40,40,0,425,465,41,bg_completion
2025-12-10T08:29:50.259619,0.3,58.890625,425780.578125,45,40,40,0,425,465,41,bg_completion
2025-12-10T08:29:51.267401,0.2,58.890625,425780.578125,45,40,40,0,425,465,41,bg_completion
2025-12-10T08:29:52.277411,0.4,58.890625,425780.578125,45,40,40,0,425,465,41,bg_completion
2025-12-10T08:29:53.288464,0.4,58.890625,425780.578125,45,40,40,0,425,465,41,bg_completion
2025-12-10T08:29:54.297964,0.3,58.890625,425780.578125,45,40,40,0,425,465,41,bg_completion
2025-12-10T08:29:55.307307,0.3,58.890625,425780.578125,45,40,40,0,425,465,41,bg_completion
2025-12-10T08:29:56.318577,1.4,58.890625,425780.578125,45,40,40,0,413,453,41,bg_completion
2025-12-10T08:29:57.322563,1.6,58.890625,425780.578125,45,40,40,0,392,432,41,bg_completion
2025-12-10T08:29:58.331276,0.7,58.46875,425780.578125,45,40,40,0,385,425,41,bg_completion
2025-12-10T08:29:59.341821,0.2,53.921875,425780.578125,45,40,40,0,385,425,41,bg_completion
2025-12-10T08:30:00.356130,0.4,38.15625,425780.578125,45,40,40,0,385,425,41,bg_completion
2025-12-10T08:30:01.365802,0.3,38.15625,425780.578125,45,40,40,0,385,425,41,bg_completion
2025-12-10T08:30:02.371758,0.3,38.171875,425780.578125,45,40,40,0,385,425,41,bg_completion
2025-12-10T08:30:03.377548,0.3,38.171875,425780.578125,45,40,40,0,385,425,41,bg_completion
2025-12-10T08:30:04.383780,0.3,38.171875,425780.578125,45,40,40,0,385,425,41,bg_completion
2025-12-10T08:30:05.392715,0.8,38.171875,425780.578125,45,40,40,0,380,420,41,bg_completion
2025-12-10T08:30:06.402470,1.3,38.1875,425780.578125,45,40,40,0,367,407,41,bg_completion
2025-12-10T08:30:07.409845,1.7,38.203125,425780.578125,45,40,40,0,349,389,41,bg_completion
2025-12-10T08:30:08.417796,0.6,38.21875,425780.578125,45,40,40,0,345,385,41,bg_completion
2025-12-10T08:30:09.426980,0.4,38.234375,425780.578125,45,40,40,0,345,385,41,bg_completion
2025-12-10T08:30:10.439116,0.4,38.234375,425780.578125,45,40,40,0,345,385,41,bg_completion
2025-12-10T08:30:11.443803,0.3,38.234375,425780.578125,45,40,40,0,345,385,41,bg_completion
2025-12-10T08:30:12.453209,0.4,38.234375,425780.578125,45,40,40,0,345,385,41,bg_completion
2025-12-10T08:30:13.466253,0.4,38.234375,425780.578125,45,40,40,0,345,385,41,bg_completion
2025-12-10T08:30:14.474281,0.3,38.234375,425780.578125,45,40,40,0,345,385,41,bg_completion
2025-12-10T08:30:15.485277,0.7,38.234375,425780.578125,45,40,40,0,340,380,41,bg_completion
2025-12-10T08:30:16.494782,1.5,38.234375,425780.578125,45,40,40,0,326,366,41,bg_completion
2025-12-10T08:30:17.500366,2.2,38.25,425780.578125,45,40,40,0,308,348,41,bg_completion
2025-12-10T08:30:18.509050,0.7,38.25,425780.578125,45,40,40,0,305,345,41,bg_completion
2025-12-10T08:30:19.518410,0.3,38.25,425780.578125,45,40,40,0,305,345,41,bg_completion
2025-12-10T08:30:20.531023,0.4,38.25,425780.578125,45,40,40,0,305,345,41,bg_completion
2025-12-10T08:30:21.539607,0.3,38.25,425780.578125,45,40,40,0,305,345,41,bg_completion
2025-12-10T08:30:22.551688,0.3,38.25,425780.578125,45,40,40,0,305,345,41,bg_completion
2025-12-10T08:30:23.559121,0.3,38.25,425780.578125,45,40,40,0,305,345,41,bg_completion
2025-12-10T08:30:24.569162,0.3,38.25,425780.578125,45,40,40,0,305,345,41,bg_completion
2025-12-10T08:30:25.579959,0.6,38.25,425780.578125,45,40,40,0,300,340,41,bg_completion
2025-12-10T08:30:26.587000,1.3,38.25,425780.578125,45,40,40,0,286,326,41,bg_completion
2025-12-10T08:30:27.600890,2.1,38.25,425780.578125,45,40,40,0,266,306,41,bg_completion
2025-12-10T08:30:28.610963,0.3,38.25,425780.578125,45,40,40,0,265,305,41,bg_completion
2025-12-10T08:30:29.617803,0.3,38.25,425780.578125,45,40,40,0,265,305,41,bg_completion
2025-12-10T08:30:30.628791,0.4,38.25,425780.578125,45,40,40,0,265,305,41,bg_completion
2025-12-10T08:30:31.640038,0.4,38.25,425780.578125,45,40,40,0,265,305,41,bg_completion
2025-12-10T08:30:32.648299,0.4,38.25,425780.578125,45,40,40,0,265,305,41,bg_completion
2025-12-10T08:30:33.660475,0.5,38.25,425780.578125,45,40,40,0,265,305,41,bg_completion
2025-12-10T08:30:34.670375,0.3,38.25,425780.578125,45,40,40,0,265,305,41,bg_completion
2025-12-10T08:30:35.681459,0.8,38.25,425780.578125,45,40,40,0,260,300,41,bg_completion
2025-12-10T08:30:36.689509,1.6,38.25,425780.578125,45,40,40,0,245,285,41,bg_completion
2025-12-10T08:30:37.697050,2.1,38.265625,425780.578125,45,40,40,0,225,265,41,bg_completion
2025-12-10T08:30:38.708158,0.4,38.265625,425780.578125,45,40,40,0,225,265,41,bg_completion
2025-12-10T08:30:39.716104,0.3,38.28125,425780.578125,45,40,40,0,225,265,41,bg_completion
2025-12-10T08:30:40.725883,0.2,38.28125,425780.578125,45,40,40,0,225,265,41,bg_completion
2025-12-10T08:30:41.735782,0.3,38.28125,425780.578125,45,40,40,0,225,265,41,bg_completion
2025-12-10T08:30:42.749486,0.4,38.28125,425780.578125,45,40,40,0,225,265,41,bg_completion
2025-12-10T08:30:43.757662,0.3,38.28125,425780.578125,45,40,40,0,225,265,41,bg_completion
2025-12-10T08:30:44.770083,0.4,38.296875,425780.578125,45,40,40,0,225,265,41,bg_completion
