timestamp,cpu_percent,memory_rss_mb,memory_vms_mb,process_threads,thread_pool_total,thread_pool_borrowed,thread_pool_available,thread_pool_waiting,pending_bg_tasks,active_threads,phase
2025-12-10T08:12:55.347289,0.0,49.046875,425134.046875,5,40,0,40,0,0,1,test
2025-12-10T08:12:56.362398,1.2,49.890625,425214.359375,10,40,2,38,0,8,6,test
2025-12-10T08:12:57.376372,4.4,50.28125,425263.546875,13,40,5,35,0,27,9,test
2025-12-10T08:12:58.385685,5.2,50.546875,425263.546875,13,40,1,39,0,50,9,test
2025-12-10T08:12:59.392905,4.3,50.84375,425263.546875,13,40,6,34,0,65,9,test
2025-12-10T08:13:00.404768,4.9,51.09375,425263.546875,13,40,6,34,0,86,9,test
2025-12-10T08:13:01.414606,2.9,51.421875,425264.546875,13,40,6,34,0,106,9,test
2025-12-10T08:13:02.423158,4.1,51.640625,425264.546875,13,40,5,35,0,125,9,test
2025-12-10T08:13:03.431966,5.7,51.859375,425264.546875,13,40,2,38,0,146,9,test
2025-12-10T08:13:04.443030,5.0,52.15625,425264.546875,13,40,3,37,0,165,9,test
2025-12-10T08:13:05.453201,5.2,52.453125,425281.609375,14,40,1,39,0,186,10,test
2025-12-10T08:13:06.465847,3.9,52.625,425281.609375,14,40,4,36,0,196,10,test
2025-12-10T08:13:07.477821,4.8,52.671875,425281.609375,14,40,6,34,0,192,10,test
2025-12-10T08:13:08.486528,6.6,52.671875,425281.609375,14,40,5,35,0,191,10,test
2025-12-10T08:13:09.500994,6.0,52.671875,425281.609375,14,40,7,33,0,190,10,test
2025-12-10T08:13:10.513320,4.9,52.671875,425281.609375,14,40,3,37,0,193,10,test
2025-12-10T08:13:11.525398,4.1,52.671875,425281.609375,14,40,6,34,0,190,10,test
2025-12-10T08:13:12.533095,4.9,52.671875,425281.609375,14,40,7,33,0,189,10,test
2025-12-10T08:13:13.539512,5.3,52.671875,425281.609375,14,40,3,37,0,191,10,test
2025-12-10T08:13:14.549453,5.2,52.671875,425281.609375,14,40,4,36,0,190,10,test
2025-12-10T08:13:15.560507,6.1,52.671875,425281.609375,14,40,4,36,0,190,10,test
2025-12-10T08:13:16.569512,4.7,52.671875,425281.609375,14,40,6,34,0,190,10,test
2025-12-10T08:13:17.583394,5.9,52.671875,425281.609375,14,40,3,37,0,194,10,test
2025-12-10T08:13:18.595408,4.9,52.671875,425281.609375,14,40,3,37,0,194,10,test
2025-12-10T08:13:19.614130,6.4,52.6875,425281.609375,14,40,2,38,0,197,10,test
2025-12-10T08:13:20.624505,5.4,52.65625,425265.546875,13,40,2,38,0,196,9,test
2025-12-10T08:13:21.631139,6.5,52.65625,425265.546875,13,40,3,37,0,196,9,test
2025-12-10T08:13:22.639669,4.8,52.65625,425265.546875,13,40,2,38,0,194,9,test
2025-12-10T08:13:23.648526,4.6,52.65625,425265.546875,13,40,3,37,0,194,9,test
2025-12-10T08:13:24.656067,5.3,52.65625,425265.546875,13,40,2,38,0,193,9,test
2025-12-10T08:13:25.660944,3.4,52.65625,425265.546875,13,40,0,40,0,191,9,bg_completion
2025-12-10T08:13:26.665101,0.8,52.65625,425265.546875,13,40,0,40,0,174,9,bg_completion
2025-12-10T08:13:27.676368,1.1,52.65625,425265.546875,13,40,0,40,0,151,9,bg_completion
2025-12-10T08:13:28.690374,0.8,52.65625,425265.546875,13,40,0,40,0,132,9,bg_completion
2025-12-10T08:13:29.700429,1.4,52.65625,425265.546875,13,40,0,40,0,113,9,bg_completion
2025-12-10T08:13:30.710024,1.2,52.65625,425265.546875,13,40,0,40,0,93,9,bg_completion
2025-12-10T08:13:31.717714,1.6,52.65625,425265.546875,13,40,0,40,0,73,9,bg_completion
2025-12-10T08:13:32.727991,1.3,52.65625,425265.546875,13,40,0,40,0,55,9,bg_completion
2025-12-10T08:13:33.738627,1.3,52.65625,425265.546875,13,40,0,40,0,37,9,bg_completion
2025-12-10T08:13:34.752938,1.6,52.65625,425265.546875,13,40,0,40,0,17,9,bg_completion
2025-12-10T08:13:35.765680,1.5,52.65625,425265.546875,13,40,0,40,0,0,9,bg_completion
