timestamp,cpu_percent,memory_rss_mb,memory_vms_mb,process_threads,thread_pool_total,thread_pool_borrowed,thread_pool_available,thread_pool_waiting,pending_bg_tasks,active_threads,phase
2025-12-10T08:11:27.707010,0.0,48.546875,425130.234375,5,40,0,40,0,0,1,test
2025-12-10T08:11:28.721925,4.7,51.546875,425773.796875,45,40,40,0,0,33,41,test
2025-12-10T08:11:29.730947,3.7,52.390625,425774.796875,45,40,40,0,45,46,41,test
2025-12-10T08:11:30.741915,1.4,52.875,425774.796875,45,40,40,0,68,48,41,test
2025-12-10T08:11:31.770699,2.9,53.328125,425774.796875,45,40,40,0,88,48,41,test
2025-12-10T08:11:32.780829,0.6,53.765625,425775.796875,45,40,40,0,108,48,41,test
2025-12-10T08:11:33.792697,0.3,53.796875,425775.796875,45,40,40,0,108,48,41,test
2025-12-10T08:11:34.799896,0.3,53.796875,425775.796875,45,40,40,0,108,48,41,test
2025-12-10T08:11:35.811369,0.4,53.796875,425775.796875,45,40,40,0,108,48,41,test
2025-12-10T08:11:36.825709,0.4,53.796875,425775.796875,45,40,40,0,108,48,41,test
2025-12-10T08:11:37.836214,0.4,53.796875,425775.796875,45,40,40,0,108,48,41,test
2025-12-10T08:11:38.850655,5.7,53.828125,425775.796875,45,40,40,0,92,67,41,test
2025-12-10T08:11:39.859559,9.7,54.859375,425776.796875,45,40,40,0,172,112,41,test
2025-12-10T08:11:40.872609,0.5,54.890625,425776.796875,45,40,40,0,171,111,41,test
2025-12-10T08:11:41.886890,0.5,54.890625,425776.796875,45,40,40,0,171,111,41,test
2025-12-10T08:11:42.896082,0.3,54.890625,425776.796875,45,40,40,0,171,111,41,test
2025-12-10T08:11:43.906491,0.3,54.890625,425776.796875,45,40,40,0,171,111,41,test
2025-12-10T08:11:44.915051,0.3,54.90625,425776.796875,45,40,40,0,171,111,41,test
2025-12-10T08:11:45.922417,0.3,54.90625,425776.796875,45,40,40,0,171,111,41,test
2025-12-10T08:11:46.934874,0.4,54.90625,425776.796875,45,40,40,0,171,111,41,test
2025-12-10T08:11:47.945449,0.3,54.90625,425776.796875,45,40,40,0,171,111,41,test
2025-12-10T08:11:48.958452,2.7,54.90625,425776.796875,45,40,40,0,164,111,41,test
2025-12-10T08:11:49.969214,7.5,54.90625,425776.796875,45,40,40,0,159,107,41,test
2025-12-10T08:11:50.977869,1.5,54.90625,425776.796875,45,40,40,0,169,109,41,test
2025-12-10T08:11:51.986314,0.3,54.90625,425776.796875,45,40,40,0,169,109,41,test
2025-12-10T08:11:52.995098,0.2,54.90625,425776.796875,45,40,40,0,169,109,41,test
2025-12-10T08:11:54.008790,0.4,54.90625,425776.796875,45,40,40,0,169,109,41,test
2025-12-10T08:11:55.017067,0.3,54.90625,425776.796875,45,40,40,0,169,109,41,test
2025-12-10T08:11:56.025585,0.3,50.15625,425776.796875,45,40,40,0,169,109,41,test
2025-12-10T08:11:57.038851,0.4,50.15625,425776.796875,45,40,40,0,169,109,41,test
2025-12-10T08:11:58.048794,0.7,50.265625,425776.796875,45,40,40,0,169,109,41,bg_completion
2025-12-10T08:11:59.054951,0.7,50.265625,425776.796875,45,40,39,1,157,96,41,bg_completion
2025-12-10T08:12:00.065820,5.5,50.5,425776.796875,45,40,40,0,130,102,41,bg_completion
2025-12-10T08:12:01.075403,3.8,50.59375,425776.796875,45,40,40,0,129,132,41,bg_completion
2025-12-10T08:12:02.085609,0.7,50.59375,425776.796875,45,40,40,0,129,134,41,bg_completion
2025-12-10T08:12:03.094888,0.4,50.59375,425776.796875,45,40,40,0,129,134,41,bg_completion
2025-12-10T08:12:04.102911,0.3,50.59375,425776.796875,45,40,40,0,129,134,41,bg_completion
2025-12-10T08:12:05.114668,0.4,50.59375,425776.796875,45,40,40,0,129,134,41,bg_completion
2025-12-10T08:12:06.127105,0.3,50.59375,425776.796875,45,40,40,0,129,134,41,bg_completion
2025-12-10T08:12:07.134229,0.3,50.59375,425776.796875,45,40,40,0,129,134,41,bg_completion
2025-12-10T08:12:08.143257,0.3,50.59375,425776.796875,45,40,40,0,129,134,41,bg_completion
2025-12-10T08:12:09.153317,2.1,50.59375,425776.796875,45,40,40,0,114,124,41,bg_completion
2025-12-10T08:12:10.163579,4.2,50.59375,425776.796875,45,40,40,0,98,128,41,bg_completion
2025-12-10T08:12:11.171813,2.3,50.59375,425776.796875,45,40,40,0,90,130,41,bg_completion
2025-12-10T08:12:12.185280,0.4,50.59375,425776.796875,45,40,40,0,89,129,41,bg_completion
2025-12-10T08:12:13.194508,0.3,50.59375,425776.796875,45,40,40,0,89,129,41,bg_completion
2025-12-10T08:12:14.204074,0.3,50.59375,425776.796875,45,40,40,0,89,129,41,bg_completion
2025-12-10T08:12:15.218100,0.4,50.59375,425776.796875,45,40,40,0,89,129,41,bg_completion
2025-12-10T08:12:16.228066,0.3,50.59375,425776.796875,45,40,40,0,89,129,41,bg_completion
2025-12-10T08:12:17.239162,0.4,50.59375,425776.796875,45,40,40,0,89,129,41,bg_completion
2025-12-10T08:12:18.252844,0.5,50.59375,425776.796875,45,40,40,0,88,128,41,bg_completion
2025-12-10T08:12:19.266880,1.1,50.59375,425776.796875,45,40,40,0,75,115,41,bg_completion
2025-12-10T08:12:20.277977,1.5,50.59375,425776.796875,45,40,40,0,61,101,41,bg_completion
2025-12-10T08:12:21.286401,1.5,50.59375,425776.796875,45,40,40,0,50,90,41,bg_completion
2025-12-10T08:12:22.297229,0.4,50.59375,425776.796875,45,40,40,0,49,89,41,bg_completion
2025-12-10T08:12:23.306727,0.3,50.59375,425776.796875,45,40,40,0,49,89,41,bg_completion
2025-12-10T08:12:24.314849,0.3,50.59375,425776.796875,45,40,40,0,49,89,41,bg_completion
2025-12-10T08:12:25.324635,0.2,50.59375,425776.796875,45,40,40,0,49,89,41,bg_completion
2025-12-10T08:12:26.330951,0.3,50.59375,425776.796875,45,40,40,0,49,89,41,bg_completion
2025-12-10T08:12:27.338423,0.3,50.59375,425776.796875,45,40,40,0,49,89,41,bg_completion
2025-12-10T08:12:28.346427,0.3,50.59375,425776.796875,45,40,40,0,48,88,41,bg_completion
2025-12-10T08:12:29.352537,1.3,50.59375,425776.796875,45,40,40,0,31,71,41,bg_completion
2025-12-10T08:12:30.361737,1.0,50.59375,425776.796875,45,40,40,0,21,61,41,bg_completion
2025-12-10T08:12:31.374126,1.5,50.59375,425776.796875,45,40,40,0,10,50,41,bg_completion
2025-12-10T08:12:32.384013,0.4,50.59375,425776.796875,45,40,40,0,9,49,41,bg_completion
2025-12-10T08:12:33.392504,0.4,50.59375,425776.796875,45,40,40,0,9,49,41,bg_completion
2025-12-10T08:12:34.399870,0.3,50.59375,425776.796875,45,40,40,0,9,49,41,bg_completion
2025-12-10T08:12:35.416560,0.4,50.59375,425776.796875,45,40,40,0,9,49,41,bg_completion
2025-12-10T08:12:36.427263,0.3,50.59375,425776.796875,45,40,40,0,9,49,41,bg_completion
2025-12-10T08:12:37.436838,0.2,50.59375,425776.796875,45,40,40,0,9,49,41,bg_completion
2025-12-10T08:12:38.445650,0.3,50.59375,425776.796875,45,40,40,0,8,48,41,bg_completion
2025-12-10T08:12:39.457820,1.6,50.59375,425776.796875,45,40,31,9,0,31,41,bg_completion
